id,language,split,task,sentence_a,sentence_b,label,reviewer,judged_label,fluent,comment
b504b21863197a90768524729d4f6d844a495c9351ebb0c6138fed3c15bdeb0f:0:en,en,train,roles,The large blue cow greets the large blue cat and the large blue cat follows the large blue cow.,The large blue cat is followed by the large blue cow and the large blue cow is greeted by the large blue cat.,0,reviewer_1,,,
b504b21863197a90768524729d4f6d844a495c9351ebb0c6138fed3c15bdeb0f:0:en,en,train,roles,The large blue cow greets the large blue cat and the large blue cat follows the large blue cow.,The large blue cat is followed by the large blue cow and the large blue cow is greeted by the large blue cat.,0,reviewer_2,,,
70d26e38cae30d52f676101761970064b38386dabaf86f626a6b55170ecf5c5e:1:en,en,train,roles,The small blue bear greets the small green fox and the small green fox follows the small blue bear.,The small green fox is greeted by the small blue bear and the small blue bear is followed by the small green fox.,1,reviewer_1,,,
70d26e38cae30d52f676101761970064b38386dabaf86f626a6b55170ecf5c5e:1:en,en,train,roles,The small blue bear greets the small green fox and the small green fox follows the small blue bear.,The small green fox is greeted by the small blue bear and the small blue bear is followed by the small green fox.,1,reviewer_2,,,
9f6a5b74a7fc59af8dee90937b51fd00b063151cafdede56e5a0efa031bcecc3:0:en,en,train,negation,The large yellow horse does not greet the small black sheep and the small black sheep greets the large yellow horse.,The small black sheep is greeted by the large yellow horse and the large yellow horse is not greeted by the small black sheep.,0,reviewer_1,,,
9f6a5b74a7fc59af8dee90937b51fd00b063151cafdede56e5a0efa031bcecc3:0:en,en,train,negation,The large yellow horse does not greet the small black sheep and the small black sheep greets the large yellow horse.,The small black sheep is greeted by the large yellow horse and the large yellow horse is not greeted by the small black sheep.,0,reviewer_2,,,
6d39bf701de16d4b50127c69d43e9a6ce66060aa4907cac57e4c67ad5eefae8b:1:en,en,train,negation,The old white dog greets the young black lion and the young black lion does not greet the old white dog.,The young black lion is greeted by the old white dog and the old white dog is not greeted by the young black lion.,1,reviewer_1,,,
6d39bf701de16d4b50127c69d43e9a6ce66060aa4907cac57e4c67ad5eefae8b:1:en,en,train,negation,The old white dog greets the young black lion and the young black lion does not greet the old white dog.,The young black lion is greeted by the old white dog and the old white dog is not greeted by the young black lion.,1,reviewer_2,,,
b9131cd0c20eb17256726c76b4e89ea9a46d585a1e41b4e73efce1aace4f31e5:0:en,en,train,space,The young blue cow is in front of the small yellow bear and the young yellow mouse is behind the young yellow cow.,The small yellow bear is in front of the young blue cow and the young yellow cow is behind the young yellow mouse.,0,reviewer_1,,,
b9131cd0c20eb17256726c76b4e89ea9a46d585a1e41b4e73efce1aace4f31e5:0:en,en,train,space,The young blue cow is in front of the small yellow bear and the young yellow mouse is behind the young yellow cow.,The small yellow bear is in front of the young blue cow and the young yellow cow is behind the young yellow mouse.,0,reviewer_2,,,
cde6e2cc7e4fc8713a4b8d9a49444721141309fc22ea980343c7c4400e8ac7e8:1:en,en,train,space,The young red bear is behind the old green bear and the young white rabbit is in front of the large black bear.,The old green bear is in front of the young red bear and the large black bear is behind the young white rabbit.,1,reviewer_1,,,
cde6e2cc7e4fc8713a4b8d9a49444721141309fc22ea980343c7c4400e8ac7e8:1:en,en,train,space,The young red bear is behind the old green bear and the young white rabbit is in front of the large black bear.,The old green bear is in front of the young red bear and the large black bear is behind the young white rabbit.,1,reviewer_2,,,
cfd0de74fec371af159f3abaebd4e110c78449fc315f2cb92fe4e88f30f3d845:0:en,en,train,quantity,There are eight small yellow cats and four young white cows.,There are eight young white cows and four small yellow cats.,0,reviewer_1,,,
cfd0de74fec371af159f3abaebd4e110c78449fc315f2cb92fe4e88f30f3d845:0:en,en,train,quantity,There are eight small yellow cats and four young white cows.,There are eight young white cows and four small yellow cats.,0,reviewer_2,,,
6998f6680d73b098a9915a5651e5018e1b3ff933fbdd04109657a3876c62a8d6:1:en,en,train,quantity,There are two small blue foxes and six small white rabbits.,There are six small white rabbits and two small blue foxes.,1,reviewer_1,,,
6998f6680d73b098a9915a5651e5018e1b3ff933fbdd04109657a3876c62a8d6:1:en,en,train,quantity,There are two small blue foxes and six small white rabbits.,There are six small white rabbits and two small blue foxes.,1,reviewer_2,,,
cf079a413db262c68d3e5289af5f22c9e8dd027f1a55f072111c4f920785d1af:0:en,en,dev_a,roles,The small red lion follows the young black duck and the young black duck greets the small red lion.,The young black duck is greeted by the small red lion and the small red lion is followed by the young black duck.,0,reviewer_1,,,
cf079a413db262c68d3e5289af5f22c9e8dd027f1a55f072111c4f920785d1af:0:en,en,dev_a,roles,The small red lion follows the young black duck and the young black duck greets the small red lion.,The young black duck is greeted by the small red lion and the small red lion is followed by the young black duck.,0,reviewer_2,,,
0963eb095614e3fca75820a1c8810460831c95bc6a2a7d346e03a59ea426f357:1:en,en,dev_a,roles,The large red rabbit sees the large green horse and the large green horse follows the large red rabbit.,The large green horse is seen by the large red rabbit and the large red rabbit is followed by the large green horse.,1,reviewer_1,,,
0963eb095614e3fca75820a1c8810460831c95bc6a2a7d346e03a59ea426f357:1:en,en,dev_a,roles,The large red rabbit sees the large green horse and the large green horse follows the large red rabbit.,The large green horse is seen by the large red rabbit and the large red rabbit is followed by the large green horse.,1,reviewer_2,,,
ced7b2ad2555656df7cfbb1207a1e2b12cce6254140a5c547683c8c428a47d98:0:en,en,dev_a,negation,The old blue cow sees the young white cow and the young white cow does not see the old blue cow.,The young white cow is not seen by the old blue cow and the old blue cow is seen by the young white cow.,0,reviewer_1,,,
ced7b2ad2555656df7cfbb1207a1e2b12cce6254140a5c547683c8c428a47d98:0:en,en,dev_a,negation,The old blue cow sees the young white cow and the young white cow does not see the old blue cow.,The young white cow is not seen by the old blue cow and the old blue cow is seen by the young white cow.,0,reviewer_2,,,
5428470df2998d0e37983b9d6e4b106c19fd6d5489013087d2764143f2162a46:1:en,en,dev_a,negation,The small white rabbit sees the small green dog and the small green dog does not see the small white rabbit.,The small green dog is seen by the small white rabbit and the small white rabbit is not seen by the small green dog.,1,reviewer_1,,,
5428470df2998d0e37983b9d6e4b106c19fd6d5489013087d2764143f2162a46:1:en,en,dev_a,negation,The small white rabbit sees the small green dog and the small green dog does not see the small white rabbit.,The small green dog is seen by the small white rabbit and the small white rabbit is not seen by the small green dog.,1,reviewer_2,,,
1fe5584927b7c81b58d061986a8678aa0224a83141370f5df623db428a43078f:0:en,en,dev_a,space,The large blue dog is to the right of the old red sheep and the young blue bear is to the left of the small red mouse.,The old red sheep is to the right of the large blue dog and the small red mouse is to the left of the young blue bear.,0,reviewer_1,,,
1fe5584927b7c81b58d061986a8678aa0224a83141370f5df623db428a43078f:0:en,en,dev_a,space,The large blue dog is to the right of the old red sheep and the young blue bear is to the left of the small red mouse.,The old red sheep is to the right of the large blue dog and the small red mouse is to the left of the young blue bear.,0,reviewer_2,,,
036854c5f1b75f0d7cb18a01d9b007003f7d1af2ce575447c168706e586c368b:1:en,en,dev_a,space,The small green mouse is below the large white cat and the young blue duck is above the small white bear.,The large white cat is above the small green mouse and the small white bear is below the young blue duck.,1,reviewer_1,,,
036854c5f1b75f0d7cb18a01d9b007003f7d1af2ce575447c168706e586c368b:1:en,en,dev_a,space,The small green mouse is below the large white cat and the young blue duck is above the small white bear.,The large white cat is above the small green mouse and the small white bear is below the young blue duck.,1,reviewer_2,,,
